accession	date	fastq1	fastq2
SRR12751974	2020-01-01	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/074/SRR12751974/SRR12751974_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/074/SRR12751974/SRR12751974_2.fastq.gz
SRR12162386	2020-01-24	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/086/SRR12162386/SRR12162386_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/086/SRR12162386/SRR12162386_2.fastq.gz
SRR11494512	2020-03-18	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/012/SRR11494512/SRR11494512_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/012/SRR11494512/SRR11494512_2.fastq.gz
SRR11494665	2020-03-22	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/065/SRR11494665/SRR11494665_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/065/SRR11494665/SRR11494665_2.fastq.gz
SRR11695909	2020-04-09	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/009/SRR11695909/SRR11695909_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/009/SRR11695909/SRR11695909_2.fastq.gz
SRR12531300	2020-04-14	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/000/SRR12531300/SRR12531300_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/000/SRR12531300/SRR12531300_2.fastq.gz
SRR11915849	2020-04-30	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/049/SRR11915849/SRR11915849_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/049/SRR11915849/SRR11915849_2.fastq.gz
SRR12162271	2020-05-10	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/071/SRR12162271/SRR12162271_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/071/SRR12162271/SRR12162271_2.fastq.gz
SRR11915998	2020-05-12	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/098/SRR11915998/SRR11915998_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/098/SRR11915998/SRR11915998_2.fastq.gz
SRR12162173	2020-05-24	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/073/SRR12162173/SRR12162173_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/073/SRR12162173/SRR12162173_2.fastq.gz
SRR12162363	2020-06-03	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/063/SRR12162363/SRR12162363_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/063/SRR12162363/SRR12162363_2.fastq.gz
SRR12531201	2020-06-14	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/001/SRR12531201/SRR12531201_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/001/SRR12531201/SRR12531201_2.fastq.gz
SRR12528545	2020-06-29	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/045/SRR12528545/SRR12528545_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/045/SRR12528545/SRR12528545_2.fastq.gz
SRR12530616	2020-07-09	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/016/SRR12530616/SRR12530616_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/016/SRR12530616/SRR12530616_2.fastq.gz
SRR12537380	2020-07-12	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/080/SRR12537380/SRR12537380_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/080/SRR12537380/SRR12537380_2.fastq.gz
SRR12755027	2020-07-29	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/027/SRR12755027/SRR12755027_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/027/SRR12755027/SRR12755027_2.fastq.gz
SRR13083907	2020-08-07	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR13083907/SRR13083907_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/007/SRR13083907/SRR13083907_2.fastq.gz
SRR12755262	2020-08-13	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/062/SRR12755262/SRR12755262_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/062/SRR12755262/SRR12755262_2.fastq.gz
SRR12754412	2020-08-22	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/012/SRR12754412/SRR12754412_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/012/SRR12754412/SRR12754412_2.fastq.gz
SRR12754984	2020-09-10	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/084/SRR12754984/SRR12754984_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/084/SRR12754984/SRR12754984_2.fastq.gz
SRR12755215	2020-09-11	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/015/SRR12755215/SRR12755215_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/015/SRR12755215/SRR12755215_2.fastq.gz
SRR12894959	2020-09-25	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/059/SRR12894959/SRR12894959_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/059/SRR12894959/SRR12894959_2.fastq.gz
SRR13130252	2020-10-07	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/052/SRR13130252/SRR13130252_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/052/SRR13130252/SRR13130252_2.fastq.gz
SRR13130383	2020-10-20	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/083/SRR13130383/SRR13130383_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/083/SRR13130383/SRR13130383_2.fastq.gz
